,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
346,2023-543760,2023-01-11,426800.0,Appartement,1.0,32.0,,2.0,,13338.0,75.0,RUE CHARLOT,1880,75003.0,75103,Paris 3e Arrondissement,75,75103000AH0021,2.363918,48.864284
350,2023-543761,2023-01-06,554450.0,Appartement,2.0,50.0,53.68,3.0,10329.0,11089.0,71.0,AV GAMBETTA,3933,75020.0,75120,Paris 20e Arrondissement,75,75120000CE0053,2.396643,48.865179
352,2023-543762,2023-01-12,334000.0,Appartement,1.0,29.0,,2.0,,11517.0,115.0,RUE DU MONT CENIS,6467,75018.0,75118,Paris 18e Arrondissement,75,75118000BE0101,2.345652,48.895217
353,2023-543763,2023-01-10,294000.0,Appartement,0.0,37.0,38.22,2.0,7692.0,7946.0,77.0,RUE RIQUET,8241,75018.0,75118,Paris 18e Arrondissement,75,75118000DD0036,2.361166,48.889834
354,2023-543764,2023-01-09,1090097.0,Appartement,1.0,96.0,,5.0,,11355.0,11.0,RUE MARCEL RENAULT,6007,75017.0,75117,Paris 17e Arrondissement,75,75117000AO0022,2.29255,48.879922
359,2023-543767,2023-01-03,394650.0,Appartement,1.0,43.0,43.74,2.0,9023.0,9178.0,43.0,RUE LOUIS BLANC,5764,75010.0,75110,Paris 10e Arrondissement,75,75110000AG0020,2.363887,48.881643
360,2023-543768,2023-01-11,637550.0,Appartement,1.0,82.0,86.12,3.0,7403.0,7775.0,5.0,RUE FRAGONARD,3777,75017.0,75117,Paris 17e Arrondissement,75,75117000DD0010,2.31499,48.894441
364,2023-543769,2023-01-10,750000.0,Appartement,2.0,73.0,79.22,5.0,9467.0,10274.0,15.0,RUE EUGENE VARLIN,3442,75010.0,75110,Paris 10e Arrondissement,75,75110000BS0007,2.363954,48.878421
366,2023-543770,2023-01-09,947400.0,Appartement,1.0,84.0,74.82,4.0,12662.0,11279.0,65.0,RUE CONDORCET,2268,75009.0,75109,Paris 9e Arrondissement,75,75109000BA0009,2.341337,48.880172
367,2023-543771,2023-01-13,750000.0,Appartement,1.0,58.0,,3.0,,12931.0,5.0,RUE PAUL ESCUDIER,7155,75009.0,75109,Paris 9e Arrondissement,75,75109000AC0155,2.332397,48.880647
370,2023-543772,2023-01-13,576000.0,Appartement,1.0,49.0,49.01,2.0,11753.0,11755.0,19.0,RUE DU DEBARCADERE,2614,75017.0,75117,Paris 17e Arrondissement,75,75117000AF0069,2.285109,48.877601
